URL;Hotel;Regija;Lokacija;Tip
http://www.tripadvisor.com/Attraction_Review-g274873-d276335-Reviews-Triple_Bridge_Tromostovje-Ljubljana_Upper_Carniola_Region.html;Tromostovje;Slovenija;Ljubljana;
http://www.tripadvisor.com/Attraction_Review-g274873-d555572-Reviews-River_Ljubljanica_Kanal-Ljubljana_Upper_Carniola_Region.html;Ljubljanica kanal;Slovenija;Ljubljana;
http://www.tripadvisor.com/Attraction_Review-g274873-d298650-Reviews-Tivoli_Park-Ljubljana_Upper_Carniola_Region.html;Tivoli;Slovenija;Ljubljana;
http://www.tripadvisor.com/Attraction_Review-g274873-d276321-Reviews-Ljubljana_Castle-Ljubljana_Upper_Carniola_Region.html;Grad;Slovenija;Ljubljana;
http://www.tripadvisor.com/Attraction_Review-g274873-d6924839-Reviews-Ljubljana_Castle_Funicular-Ljubljana_Upper_Carniola_Region.html;Vzpenjaèa;Slovenija;Ljubljana;
http://www.tripadvisor.com/Attraction_Review-g274873-d276337-Reviews-Dragon_Bridge_Zmajski_Most-Ljubljana_Upper_Carniola_Region.html;Zmajski most;Slovenija;Ljubljana;
http://www.tripadvisor.com/Attraction_Review-g274873-d4720467-Reviews-Ljubljananjam_Foodwalks-Ljubljana_Upper_Carniola_Region.html;Ljubljananjam;Slovenija;Ljubljana;
http://www.tripadvisor.com/Attraction_Review-g274873-d4715183-Reviews-Ljubljana_Food_Tour-Ljubljana_Upper_Carniola_Region.html;LJ Food tours;Slovenija;Ljubljana;
http://www.tripadvisor.com/Attraction_Review-g274873-d4509325-Reviews-Top_Ljubljana_Foods_Food_Tours-Ljubljana_Upper_Carniola_Region.html;Top food tors;Slovenija;Ljubljana;
http://www.tripadvisor.com/Attraction_Review-g274873-d4782527-Reviews-Science_Centre_Hisa_eksperimentov-Ljubljana_Upper_Carniola_Region.html;Hiša experimentov;Slovenija;Ljubljana;
http://www.tripadvisor.com/Attraction_Review-g274873-d277377-Reviews-National_Museum_of_Contemporary_History_Muzej_Novejse_Zgodovine-Ljubljana_Upper_Ca.html;Muzej novejše zgodovine;Slovenija;Ljubljana;
